# Position Log - Manual Test Lap
# Format: RL_STATE|time|position|lap|split|posX|posY|speed|turnSpeed|angle|rank|coins
#
RL_STATE|99.6293|120|4|0|0.290883|0.463802|0.144007|-1.87833|1.4453|2|2
RL_STATE|99.646|120|4|0|0.291184|0.466187|0.144449|-1.87833|1.41399|2|2
RL_STATE|99.6627|120|4|0|0.29156|0.468569|0.144883|-1.87833|1.38269|2|2
RL_STATE|99.6793|118|4|0|0.292013|0.470944|0.145308|-1.87833|1.35138|2|2
RL_STATE|99.696|118|4|0|0.292534|0.473284|0.142393|-1.87833|1.32008|2|2
RL_STATE|99.7127|118|4|0|0.293117|0.47556|0.139532|-1.87833|1.28878|2|2
RL_STATE|99.7293|118|4|0|0.293758|0.477771|0.136722|-1.87833|1.25747|2|2
RL_STATE|99.746|118|4|0|0.294453|0.479917|0.133964|-1.87833|1.22617|2|2
RL_STATE|99.7627|118|4|0|0.2952|0.481997|0.131256|-1.87833|1.19486|2|2
RL_STATE|99.7793|118|4|0|0.295995|0.484011|0.128598|-1.87833|1.16356|2|2
RL_STATE|99.796|118|4|0|0.296835|0.485959|0.125988|-1.87833|1.13225|2|2
RL_STATE|99.8127|117|4|0|0.297718|0.487841|0.123427|-1.87833|1.10095|2|2
RL_STATE|99.8293|117|4|0|0.298652|0.489681|0.124245|-1.87833|1.06965|2|2
RL_STATE|99.846|117|4|0|0.29965|0.491503|0.125048|-1.87833|1.03834|2|2
RL_STATE|99.8627|117|4|0|0.300711|0.493304|0.125836|-1.87833|1.00704|2|2
RL_STATE|99.8793|117|4|0|0.301821|0.495059|0.123277|-1.87833|0.975732|2|2
RL_STATE|99.896|117|4|0|0.30296|0.496743|0.120765|-1.87833|0.944428|2|2
RL_STATE|99.9127|117|4|0|0.304128|0.498357|0.118298|-1.87833|0.913124|2|2
RL_STATE|99.9293|116|4|0|0.305321|0.499901|0.115877|-1.87833|0.881819|2|2
RL_STATE|99.946|116|4|0|0.306554|0.501398|0.116833|-1.87833|0.850515|2|2
RL_STATE|99.9627|116|4|0|0.307843|0.502867|0.117772|-1.87833|0.819211|2|2
RL_STATE|99.9793|116|4|0|0.309189|0.504307|0.118693|-1.87833|0.787907|2|2
RL_STATE|99.996|116|4|0|0.310589|0.505714|0.119598|-1.87833|0.756602|2|2
RL_STATE|100.013|116|4|0|0.312044|0.507088|0.120486|-1.87833|0.725298|2|2
RL_STATE|100.029|115|4|0|0.313552|0.508425|0.121358|-1.87833|0.693994|2|2
RL_STATE|100.046|115|4|0|0.315112|0.509723|0.122214|-1.87833|0.662689|2|2
RL_STATE|103.613|69|4|0|0.432647|0.838003|0.0536787|0.6762|1.99621|2|0
RL_STATE|103.629|69|4|0|0.432274|0.838826|0.0548768|0.704375|2.00795|2|0
RL_STATE|103.646|69|4|0|0.431882|0.839664|0.0560749|0.73255|2.02015|2|0
RL_STATE|103.663|69|4|0|0.431472|0.840515|0.057273|0.760725|2.03283|2|0
RL_STATE|103.679|69|4|0|0.431042|0.841378|0.0584711|0.7889|2.04598|2|0
RL_STATE|103.696|69|4|0|0.430592|0.842254|0.0596692|0.817075|2.0596|2|0
RL_STATE|103.713|69|4|0|0.43012|0.84314|0.0608673|0.84525|2.07368|2|0
RL_STATE|103.729|68|4|0|0.429626|0.844038|0.0620654|0.873425|2.08824|2|0
RL_STATE|103.746|68|4|0|0.42911|0.844946|0.0632635|0.9016|2.10327|2|0
RL_STATE|103.763|68|4|0|0.42857|0.845863|0.0644616|0.929775|2.11876|2|0
RL_STATE|103.779|68|4|0|0.428005|0.846788|0.0656597|0.95795|2.13473|2|0
RL_STATE|103.796|68|4|0|0.427414|0.847721|0.0668578|0.986125|2.15116|2|0
RL_STATE|103.813|68|4|0|0.426798|0.848662|0.0680559|1.0143|2.16807|2|0
RL_STATE|103.829|68|4|0|0.426154|0.849608|0.069254|1.04247|2.18544|2|0
RL_STATE|103.846|68|4|0|0.425483|0.850559|0.0704521|1.07065|2.20328|2|0
RL_STATE|103.863|68|4|0|0.424783|0.851514|0.0716502|1.09882|2.2216|2|0
RL_STATE|103.879|68|4|0|0.424054|0.852472|0.0728483|1.127|2.24038|2|0
RL_STATE|103.896|68|4|0|0.423294|0.853432|0.0740465|1.15517|2.25963|2|0
RL_STATE|103.913|68|4|0|0.422503|0.854392|0.0752446|1.18335|2.27935|2|0
RL_STATE|103.929|67|4|0|0.421681|0.855352|0.0764427|1.21152|2.29954|2|0
RL_STATE|103.946|67|4|0|0.420826|0.85631|0.0776408|1.2397|2.32021|2|0
RL_STATE|103.963|67|4|0|0.419937|0.857264|0.0788389|1.26787|2.34134|2|0
RL_STATE|103.979|67|4|0|0.419015|0.858214|0.080037|1.29605|2.36294|2|0
RL_STATE|103.996|67|4|0|0.418059|0.859158|0.0812351|1.32422|2.38501|2|0
RL_STATE|104.013|67|4|0|0.417067|0.860094|0.0824332|1.3524|2.40754|2|0
RL_STATE|104.029|67|4|0|0.416039|0.861021|0.0836313|1.54023|2.43321|2|0
RL_STATE|104.046|67|4|0|0.414973|0.861935|0.0848294|1.72807|2.46201|2|0
RL_STATE|104.063|66|4|0|0.413866|0.862829|0.0860275|1.87833|2.49332|2|0
RL_STATE|104.079|66|4|0|0.412715|0.863701|0.0872256|1.87833|2.52462|2|0
RL_STATE|104.096|66|4|0|0.411521|0.864548|0.0884237|1.87833|2.55593|2|0
RL_STATE|104.113|66|4|0|0.410285|0.865368|0.0896218|1.87833|2.58723|2|0
RL_STATE|104.129|66|4|0|0.409006|0.86616|0.0908199|1.87833|2.61854|2|0
RL_STATE|104.146|66|4|0|0.407686|0.866921|0.092018|1.87833|2.64984|2|0
RL_STATE|104.162|66|4|0|0.406326|0.867649|0.0932161|1.87833|2.68114|2|0
RL_STATE|104.179|65|4|0|0.404924|0.868345|0.0945865|1.87833|2.71245|2|0
RL_STATE|104.196|65|4|0|0.40348|0.869006|0.0959317|1.87833|2.74375|2|0
RL_STATE|104.212|65|4|0|0.401996|0.869629|0.0972524|1.87833|2.77506|2|0
RL_STATE|104.229|65|4|0|0.400473|0.870214|0.0985489|1.87833|2.80636|2|0
RL_STATE|104.246|65|4|0|0.398912|0.870758|0.0998218|1.87833|2.83767|2|0
RL_STATE|104.262|64|4|0|0.397315|0.871259|0.101071|1.87833|2.86897|2|0
RL_STATE|104.279|64|4|0|0.395682|0.871715|0.102298|1.56528|2.89506|2|0
RL_STATE|104.296|64|4|0|0.394019|0.872134|0.103502|1.3044|2.9168|2|0
RL_STATE|104.312|64|4|0|0.392328|0.87252|0.104685|1.087|2.93491|2|0
RL_STATE|104.329|63|4|0|0.390611|0.87288|0.105845|0.905832|2.95001|2|0
RL_STATE|104.346|63|4|0|0.38887|0.873218|0.106985|0.75486|2.96259|2|0
RL_STATE|104.362|63|4|0|0.387106|0.873537|0.108103|0.62905|2.97307|2|0
RL_STATE|104.379|63|4|0|0.385321|0.873841|0.109202|0.524208|2.98181|2|0
RL_STATE|104.396|63|4|0|0.383516|0.874132|0.11028|0.43684|2.98909|2|0
RL_STATE|104.412|62|4|0|0.38169|0.874412|0.111338|0.364033|2.99516|2|0
RL_STATE|104.429|62|4|0|0.379846|0.874684|0.112377|0.303361|3.00021|2|0
RL_STATE|104.446|62|4|0|0.377984|0.87495|0.113397|0.252801|3.00443|2|0
RL_STATE|104.462|62|4|0|0.376103|0.875209|0.114399|0.210667|3.00794|2|0
RL_STATE|104.479|61|4|0|0.374205|0.875464|0.115382|0.175556|3.01086|2|0
RL_STATE|104.496|61|4|0|0.372291|0.875716|0.116347|0.146297|3.0133|2|0
RL_STATE|104.512|61|4|0|0.37036|0.875965|0.117295|0.121914|3.01533|2|0
RL_STATE|104.529|61|4|0|0.368413|0.876212|0.118225|0.150089|3.01783|2|0
RL_STATE|104.546|60|4|0|0.36645|0.876456|0.119138|0.178264|3.02081|2|0
